rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:00:01.33,870.12,-144.53,-494.63,-2.12,-6.63,1.24,-37.65,30.45,-6.60,29.13,0.0,
01/01/2000,00:00:01.43,849.12,-138.18,-516.11,3.89,-11.42,-9.46,-36.75,31.50,-7.20,29.04,20.0,
01/01/2000,00:00:01.53,838.87,-115.72,-531.74,-0.46,-26.18,-8.77,-36.0,30.30,-9.30,29.56,15.0,
01/01/2000,00:00:01.64,827.64,-115.23,-560.06,0.87,-7.93,-3.95,-36.30,31.50,-10.05,29.28,12.903,
01/01/2000,00:00:01.74,792.48,-117.19,-545.41,0.53,3.90,-1.63,-35.10,31.65,-11.70,29.08,12.195,
01/01/2000,00:00:01.84,818.85,-125.49,-565.43,-0.58,-2.75,0.73,-33.60,33.15,-10.95,29.47,11.765,
01/01/2000,00:00:01.94,812.50,-119.63,-576.66,-3.69,-0.73,0.43,-34.65,30.45,-11.70,29.47,11.475,
01/01/2000,00:00:02.03,823.24,-125.49,-571.29,0.38,-3.52,4.69,-35.25,32.25,-11.85,29.56,11.429,
01/01/2000,00:00:02.13,820.80,-115.23,-580.08,-1.42,-0.85,2.29,-34.50,32.55,-11.85,29.13,11.250,
01/01/2000,00:00:02.23,798.34,-111.82,-561.04,0.37,-0.01,1.85,-35.10,31.20,-13.50,29.56,11.111,
01/01/2000,00:00:02.33,815.43,-109.86,-583.01,0.27,-0.73,1.53,-35.55,30.75,-9.60,29.13,10.891,
01/01/2000,00:00:02.43,804.69,-119.63,-580.08,1.02,1.52,-2.05,-34.65,31.95,-12.75,29.61,10.811,
01/01/2000,00:00:02.53,804.20,-125.0,-563.48,-1.59,5.45,0.33,-34.50,31.50,-11.55,29.08,10.744,
01/01/2000,00:00:02.64,799.80,-119.14,-579.10,3.60,9.56,1.56,-34.65,33.15,-11.25,29.37,10.687,
01/01/2000,00:00:02.74,801.27,-124.02,-639.16,19.48,64.49,15.71,-35.10,30.15,-9.90,29.47,10.638,
01/01/2000,00:00:02.84,645.02,-17.09,-114.75,-0.73,179.26,-33.98,-36.30,31.05,4.65,29.42,10.596,
01/01/2000,00:00:02.94,1165.53,-25.39,303.71,39.80,250.13,-36.58,-33.60,34.65,18.45,29.56,10.559,
01/01/2000,00:00:03.04,605.47,-25.88,878.91,33.46,250.13,19.90,-16.65,38.85,39.45,29.56,10.526,
01/01/2000,00:00:03.14,321.78,77.15,902.83,22.21,163.30,11.98,-1.20,39.60,46.35,29.28,10.497,
01/01/2000,00:00:03.24,82.03,27.34,880.37,10.41,103.75,5.97,8.25,40.05,47.70,29.37,10.471,
01/01/2000,00:00:03.34,2.93,64.45,885.25,30.86,-9.36,39.17,10.20,41.25,49.05,29.75,10.448,
01/01/2000,00:00:03.44,116.21,143.07,1999.94,-39.63,-238.49,2.79,3.60,43.65,45.75,29.47,10.427,
01/01/2000,00:00:03.54,178.71,45.90,1144.04,17.24,72.82,-6.02,-2.10,42.45,45.75,29.56,10.407,
01/01/2000,00:00:03.64,884.77,250.98,1521.97,-17.31,-183.13,54.92,-0.90,44.85,45.90,29.56,10.390,
01/01/2000,00:00:03.74,520.51,34.18,1050.78,13.91,-5.18,-29.50,-23.70,43.05,31.50,29.80,10.373,
01/01/2000,00:00:03.84,794.92,62.99,609.38,20.69,0.25,1.55,-23.55,44.70,32.70,29.56,10.359,
01/01/2000,00:00:03.94,513.67,-16.11,1004.88,14.59,-14.20,30.27,-23.55,45.45,30.90,29.56,10.305,
01/01/2000,00:00:04.04,777.83,96.68,791.99,-21.38,14.52,-21.37,-25.20,44.55,30.0,29.75,10.294,
01/01/2000,00:00:04.14,748.54,24.90,466.80,-16.29,27.44,9.24,-23.10,42.90,32.40,29.61,10.284,
01/01/2000,00:00:04.24,760.25,54.20,741.21,-10.24,133.20,-10.08,-21.45,43.35,34.80,29.56,10.274,
01/01/2000,00:00:04.35,476.07,-90.82,554.69,-11.19,219.80,-34.40,-12.0,42.45,42.90,29.61,10.265,
01/01/2000,00:00:04.45,264.16,62.50,943.36,18.08,142.37,-23.85,0.30,42.90,47.55,29.75,10.256,
01/01/2000,00:00:04.55,193.36,38.57,1003.91,12.64,45.01,7.82,6.30,44.10,48.90,29.95,10.248,
01/01/2000,00:00:04.65,3.91,174.80,998.05,4.03,32.35,-2.10,9.15,44.70,48.60,29.80,10.241,
01/01/2000,00:00:04.75,-62.50,74.71,1038.09,-2.78,15.34,-8.42,10.35,44.55,50.25,29.80,10.234,
01/01/2000,00:00:04.85,-21.97,59.08,982.91,4.77,7.63,-2.81,11.85,44.85,48.45,29.61,10.227,
