rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
02/07/2025,12:27:30.08,-43.95,976.56,-5.37,2.28,3.25,-2.37,-1.05,70.50,16.50,31.00,9.941,
02/07/2025,12:27:30.18,-56.64,966.31,-10.25,0.90,7.88,0.05,-0.60,73.65,15.75,30.95,9.940,
02/07/2025,12:27:30.28,-58.11,976.56,-29.30,0.67,6.44,-1.13,-0.60,73.20,15.75,30.95,9.940,
02/07/2025,12:27:30.38,-44.92,989.26,-12.21,-1.37,6.95,0.15,0.15,71.85,14.85,31.00,9.940,
02/07/2025,12:27:30.48,-53.22,968.26,-10.25,-1.36,7.09,0.36,-0.45,74.10,16.05,30.62,9.940,
02/07/2025,12:27:30.59,-48.34,984.38,0.0,-1.11,5.19,1.24,-1.05,73.20,15.75,30.67,9.941,
02/07/2025,12:27:30.69,-31.74,996.09,1.46,-3.60,8.48,-1.47,-0.45,72.30,15.30,30.81,9.941,
02/07/2025,12:27:30.79,-34.67,983.89,17.58,-3.31,6.73,1.02,1.65,72.30,16.05,30.95,9.941,
02/07/2025,12:27:30.89,-43.95,969.24,41.02,-5.83,10.82,1.76,0.15,72.30,16.05,30.95,9.941,
02/07/2025,12:27:30.99,-50.29,969.73,40.04,-8.53,12.55,0.39,-0.45,73.05,17.10,31.05,9.941,
02/07/2025,12:27:31.09,-111.33,1019.04,-13.67,-4.68,13.25,-2.11,-0.90,71.85,16.05,31.00,9.941,
02/07/2025,12:27:31.19,-39.55,947.27,57.13,-4.66,7.81,7.58,0.0,73.20,15.45,31.05,9.941,
02/07/2025,12:27:31.29,-17.09,980.47,18.55,-0.35,11.89,5.85,1.20,71.55,16.65,31.24,9.941,
02/07/2025,12:27:31.39,-37.11,979.98,35.16,-4.14,7.18,1.05,1.20,71.85,16.35,30.95,9.941,
02/07/2025,12:27:31.49,-7.81,960.45,61.04,-4.12,5.65,2.14,0.15,71.10,16.65,31.05,9.941,
02/07/2025,12:27:31.59,15.14,957.03,62.99,-2.38,1.61,3.33,-1.05,73.20,16.95,31.05,9.941,
02/07/2025,12:27:31.69,5.37,994.63,55.66,-1.42,3.49,-2.24,0.15,72.30,18.15,30.86,9.941,
02/07/2025,12:27:31.79,-13.18,974.61,50.29,-1.40,5.27,2.56,-1.20,73.05,17.40,30.95,9.940,
02/07/2025,12:27:31.89,13.67,943.85,83.50,3.39,1.21,1.85,0.15,73.80,17.10,31.14,9.940,
02/07/2025,12:27:31.99,6.84,984.86,44.92,3.69,4.06,1.70,-1.65,71.55,16.35,31.05,9.940,
02/07/2025,12:27:32.10,-30.76,988.77,47.36,-1.31,1.76,-0.66,-0.30,73.20,16.20,30.95,9.940,
02/07/2025,12:27:32.20,17.58,973.63,71.29,1.06,0.85,4.65,0.0,73.65,16.95,30.86,9.940,
02/07/2025,12:27:32.30,14.65,974.61,64.45,0.35,-0.72,-2.34,-0.90,72.60,17.10,31.05,9.941,
02/07/2025,12:27:32.40,9.28,972.66,48.83,1.91,1.58,-1.79,-0.15,72.60,16.35,30.86,9.941,
02/07/2025,12:27:32.50,-17.09,975.10,48.83,0.18,3.02,-1.34,-0.60,72.45,16.20,30.86,9.941,
02/07/2025,12:27:32.60,-3.91,980.96,37.11,2.31,1.26,-0.95,1.20,72.30,16.05,30.81,9.941,
02/07/2025,12:27:32.70,6.84,980.96,40.04,-3.11,-0.89,-7.10,-0.15,73.35,16.05,30.81,9.941,
02/07/2025,12:27:32.80,-11.23,985.84,69.82,-0.29,2.37,-2.86,0.0,72.0,16.20,30.86,9.941,
02/07/2025,12:27:32.90,-19.53,981.45,37.60,-2.05,-5.0,-2.14,0.0,73.65,15.75,31.05,9.941,
02/07/2025,12:27:33.00,-20.02,965.33,65.43,-5.05,-5.24,-0.35,1.05,73.20,18.0,31.05,9.941,
02/07/2025,12:27:33.10,-38.57,978.52,86.43,-3.77,-4.65,-1.88,-0.15,71.10,17.85,31.14,9.941,
02/07/2025,12:27:33.20,-7.81,953.61,110.35,1.66,-4.53,-3.60,-0.30,72.0,17.55,31.14,9.940,
02/07/2025,12:27:33.30,26.37,953.13,100.59,4.74,-6.57,-7.33,0.45,72.60,19.20,30.86,9.940,
