rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
02/07/2025,12:25:31.10,-178.71,-568.36,-778.81,0.50,3.49,-2.67,15.75,25.80,-42.90,32.92,0.0,
02/07/2025,12:25:31.20,-171.88,-561.52,-764.65,1.28,-0.95,-0.83,14.10,24.75,-42.0,32.77,20.0,
02/07/2025,12:25:31.30,-175.29,-567.87,-776.37,3.11,0.62,-1.51,14.40,24.45,-42.75,33.06,15.0,
02/07/2025,12:25:31.40,-184.57,-571.29,-781.74,2.28,5.55,-2.98,15.60,26.25,-42.75,32.77,13.333,
02/07/2025,12:25:31.50,-166.50,-586.91,-777.83,2.89,-2.20,-0.21,15.90,25.50,-43.05,32.97,12.500,
02/07/2025,12:25:31.60,-169.92,-565.92,-774.90,2.47,2.86,-2.47,15.90,25.20,-43.05,32.44,12.0,
02/07/2025,12:25:31.70,-158.20,-580.08,-783.69,1.27,3.76,0.17,14.10,24.75,-43.05,33.06,11.667,
02/07/2025,12:25:31.80,-154.30,-563.96,-771.48,1.71,1.56,-1.60,15.45,25.05,-42.15,32.92,11.429,
02/07/2025,12:25:31.90,-173.34,-583.50,-767.09,0.51,-0.79,-2.04,14.25,24.60,-42.45,32.77,11.250,
02/07/2025,12:25:32.00,-153.81,-583.01,-781.25,1.80,-0.88,-1.53,15.45,25.05,-43.20,32.73,10.989,
02/07/2025,12:25:32.10,-168.46,-568.85,-768.55,2.91,5.03,0.30,14.25,25.05,-42.15,32.77,10.891,
02/07/2025,12:25:32.20,-146.00,-583.50,-778.81,1.75,1.51,-0.50,14.25,23.85,-42.90,33.06,10.811,
02/07/2025,12:25:32.31,-148.44,-564.94,-761.23,1.64,4.26,0.24,14.10,23.70,-43.05,33.25,10.744,
02/07/2025,12:25:32.41,-162.11,-586.43,-791.02,0.93,-0.02,-0.46,15.0,23.40,-43.95,33.06,10.687,
02/07/2025,12:25:32.51,-152.83,-597.66,-768.55,5.85,4.83,-4.53,13.65,23.70,-42.30,32.97,10.638,
02/07/2025,12:25:32.61,-140.14,-576.17,-752.93,2.84,3.78,-3.91,15.90,24.0,-42.75,33.16,10.596,
02/07/2025,12:25:32.71,-140.14,-611.33,-778.81,1.71,2.37,-4.77,14.10,22.50,-44.10,33.06,10.559,
02/07/2025,12:25:32.81,-134.28,-594.73,-756.84,6.27,6.05,-0.15,12.60,22.50,-43.80,33.16,10.526,
02/07/2025,12:25:32.91,-144.04,-592.77,-738.28,1.43,-14.60,-3.95,12.75,23.85,-42.15,32.92,10.497,
02/07/2025,12:25:33.01,-131.84,-640.14,-769.53,2.64,1.58,-3.35,15.75,23.10,-43.20,33.11,10.471,
02/07/2025,12:25:33.11,-133.30,-617.68,-760.25,2.28,0.01,-4.23,13.65,21.0,-43.05,32.97,10.448,
02/07/2025,12:25:33.21,-133.30,-605.47,-741.70,0.16,0.05,5.13,13.65,21.75,-42.30,33.11,10.427,
02/07/2025,12:25:33.31,-144.53,-615.72,-738.77,0.73,3.75,1.64,13.20,22.35,-41.85,33.11,10.407,
02/07/2025,12:25:33.41,-142.58,-613.77,-759.28,0.08,-1.0,-2.31,15.15,22.50,-43.05,32.82,10.345,
02/07/2025,12:25:33.51,-145.51,-620.12,-755.86,-1.08,-0.64,0.31,14.85,22.20,-43.35,33.11,10.331,
02/07/2025,12:25:33.61,-156.25,-619.63,-758.30,-2.44,-6.47,0.20,15.90,22.95,-42.30,32.92,10.317,
02/07/2025,12:25:33.71,-106.45,-650.39,-945.80,4.53,7.14,1.82,15.45,23.10,-42.15,32.82,10.305,
02/07/2025,12:25:33.82,-167.48,-594.24,-751.46,-0.32,-1.98,0.85,14.70,22.35,-43.20,32.92,10.294,
02/07/2025,12:25:33.92,-145.02,-617.68,-761.72,-0.86,2.60,-0.95,14.40,20.25,-43.05,33.06,10.284,
02/07/2025,12:25:34.02,-148.93,-606.45,-764.16,-0.53,-2.40,-2.11,15.75,22.65,-43.20,33.30,10.274,
02/07/2025,12:25:34.12,-153.81,-620.61,-765.63,0.20,-0.83,-3.64,13.65,21.75,-43.80,33.11,10.265,
02/07/2025,12:25:34.22,-163.09,-610.84,-758.79,1.39,1.24,-2.64,16.05,22.65,-42.15,33.16,10.256,
02/07/2025,12:25:34.32,-148.93,-610.35,-769.04,-0.81,-2.31,0.66,15.45,23.40,-42.90,33.25,10.248,
02/07/2025,12:25:34.42,-162.60,-609.86,-752.93,-1.08,-5.09,-3.36,15.90,22.20,-42.30,33.25,10.241,
02/07/2025,12:25:34.52,-179.69,-587.89,-763.18,-0.90,-3.05,-1.36,16.50,23.40,-42.90,33.16,10.234,
02/07/2025,12:25:34.62,-182.13,-555.66,-773.44,7.84,7.64,0.81,15.60,21.75,-42.75,33.30,10.227,
02/07/2025,12:25:34.72,-167.48,-612.79,-754.88,0.65,-2.02,-0.47,16.65,23.25,-42.0,33.25,10.221,
02/07/2025,12:25:34.82,-169.92,-602.54,-755.86,-0.89,1.87,-0.64,16.05,23.10,-42.90,33.25,10.215,
02/07/2025,12:25:34.92,-155.27,-598.14,-771.48,0.02,0.63,0.92,17.25,22.65,-41.40,33.25,10.183,
02/07/2025,12:25:35.02,-165.53,-596.19,-749.02,-0.24,-2.16,0.50,15.60,22.95,-42.0,33.11,10.178,
02/07/2025,12:25:35.12,-176.76,-602.54,-761.23,-1.47,-3.79,0.15,15.90,22.20,-42.75,33.11,10.199,
02/07/2025,12:25:35.12,-197.75,-590.33,-764.16,-0.26,-8.93,-0.87,16.80,22.65,-41.40,33.30,10.448,
