rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
02/07/2025,12:25:49.69,-89.36,928.22,-325.20,-43.53,15.94,53.56,-30.15,70.50,-9.30,33.11,100.0,
02/07/2025,12:25:49.80,125.98,878.42,-392.09,33.59,-39.85,41.71,-35.10,68.10,-10.50,33.30,18.182,
02/07/2025,12:25:49.90,205.57,873.54,-559.57,22.41,-10.81,27.23,-37.95,65.40,-16.05,33.16,14.286,
02/07/2025,12:25:50.00,64.94,865.72,-574.22,48.84,-38.83,48.43,-37.80,62.55,-20.10,33.11,12.903,
02/07/2025,12:25:50.10,-2.93,769.53,-483.89,-50.48,15.72,35.67,-38.40,61.65,-21.45,33.16,12.195,
02/07/2025,12:25:50.20,188.96,770.02,-537.11,-5.20,39.42,8.92,-40.95,61.20,-18.45,33.25,11.765,
02/07/2025,12:25:50.30,182.62,811.04,-474.61,-0.02,-10.85,8.33,-39.90,62.70,-16.65,33.06,11.475,
02/07/2025,12:25:50.40,259.77,873.05,-573.73,-15.24,-9.93,4.34,-40.20,64.35,-15.60,33.11,11.268,
02/07/2025,12:25:50.50,-323.24,1303.71,540.04,12.89,105.45,-97.64,-41.25,63.90,-14.85,33.11,11.111,
02/07/2025,12:25:50.60,281.25,813.96,-517.09,-12.43,11.01,21.25,-39.90,65.40,-12.75,33.11,10.989,
02/07/2025,12:25:50.70,305.18,1151.86,-244.14,10.66,-2.07,-13.99,-41.10,65.55,-9.30,32.82,10.891,
02/07/2025,12:25:50.80,130.37,1074.22,-448.24,5.20,-9.63,-19.64,-40.35,66.75,-9.60,33.06,10.714,
02/07/2025,12:25:50.90,201.17,706.05,-231.93,3.30,-7.25,7.82,-39.15,68.10,-9.90,32.92,10.656,
02/07/2025,12:25:51.00,233.40,809.08,-395.02,9.32,-6.65,0.33,-40.05,66.0,-10.05,33.06,10.606,
02/07/2025,12:25:51.11,223.63,983.40,-348.63,3.82,-0.43,-2.21,-41.25,66.90,-10.95,32.97,10.563,
02/07/2025,12:25:51.21,172.85,904.79,-327.64,1.90,-1.45,-2.22,-40.35,67.20,-9.30,32.77,10.526,
02/07/2025,12:25:51.31,161.62,883.30,-316.89,2.53,1.40,-3.62,-40.95,67.65,-11.70,32.92,10.494,
02/07/2025,12:25:51.41,168.46,869.63,-384.77,2.27,4.76,-1.18,-40.95,66.90,-10.95,32.77,10.465,
02/07/2025,12:25:51.51,207.03,896.00,-335.45,-2.38,-1.22,-3.05,-42.0,67.35,-9.90,32.73,10.440,
02/07/2025,12:25:51.61,253.42,749.51,-391.60,-0.02,-16.47,-39.37,-39.0,68.70,-9.0,32.44,10.417,
02/07/2025,12:25:51.71,228.52,601.56,-333.01,0.30,-3.29,-32.38,-39.15,69.60,-10.50,32.77,10.396,
02/07/2025,12:25:51.81,181.15,739.75,-316.89,2.58,-1.01,-20.32,-38.55,69.45,-10.80,32.92,10.377,
02/07/2025,12:25:51.91,90.82,589.36,-304.20,1.40,-11.86,-49.66,-37.05,70.95,-10.35,32.77,10.360,
02/07/2025,12:25:52.01,82.52,900.88,-320.31,0.51,-0.90,-12.05,-35.55,70.95,-10.80,32.77,10.345,
02/07/2025,12:25:52.11,72.75,814.45,-334.96,6.11,-4.53,-21.33,-36.0,70.95,-10.35,32.77,10.331,
02/07/2025,12:25:52.21,66.41,916.99,-362.30,4.04,-2.98,-4.11,-34.65,72.60,-12.75,32.63,10.317,
02/07/2025,12:25:52.31,60.06,941.89,-334.96,-1.53,-1.88,-1.78,-34.20,72.45,-11.85,32.73,10.266,
02/07/2025,12:25:52.41,43.95,918.95,-331.05,-3.02,0.50,3.29,-34.35,72.30,-13.05,32.58,10.256,
02/07/2025,12:25:52.51,68.36,936.52,-352.05,2.97,-1.14,-2.60,-32.85,70.80,-14.55,32.29,10.247,
02/07/2025,12:25:52.62,61.04,924.32,-345.21,0.55,3.25,-2.0,-34.95,70.95,-13.95,32.73,10.239,
02/07/2025,12:25:52.72,43.95,918.95,-329.10,1.02,1.20,0.67,-33.30,71.10,-13.05,32.77,10.231,
02/07/2025,12:25:52.82,46.88,823.73,-235.84,-8.14,16.51,-28.34,-33.75,71.70,-14.70,32.58,10.224,
02/07/2025,12:25:52.92,48.34,909.67,-357.42,-1.86,-0.49,-1.18,-32.85,72.60,-12.45,32.73,10.217,
02/07/2025,12:25:53.02,31.74,901.86,-334.47,1.27,2.92,-2.57,-33.75,70.95,-13.65,32.77,10.210,
02/07/2025,12:25:53.12,65.92,912.60,-361.82,1.73,-0.33,-1.24,-33.60,70.35,-13.80,32.63,10.204,
02/07/2025,12:25:53.22,30.27,909.67,-330.08,2.23,0.21,-3.47,-33.45,70.95,-15.15,32.73,10.198,
02/07/2025,12:25:53.32,63.96,920.41,-345.21,0.12,1.43,-2.32,-33.75,71.25,-15.45,32.73,10.193,
02/07/2025,12:25:53.42,54.69,897.46,-336.43,0.92,2.16,-1.69,-33.75,72.0,-13.95,32.63,10.188,
02/07/2025,12:25:53.52,54.69,914.06,-348.14,1.57,1.84,0.86,-32.70,72.0,-14.70,32.73,10.183,
02/07/2025,12:25:53.62,37.11,905.27,-329.10,0.24,-2.69,0.82,-34.65,71.55,-14.25,32.58,10.152,
02/07/2025,12:25:53.72,40.04,912.11,-346.68,3.45,-2.12,-1.88,-33.45,72.0,-13.35,32.58,10.149,
02/07/2025,12:25:53.82,46.39,907.23,-352.05,2.15,1.11,0.73,-32.10,71.55,-13.05,32.39,10.145,
02/07/2025,12:25:53.92,65.43,914.55,-342.29,-0.13,0.15,-1.60,-34.95,70.95,-14.40,32.73,10.142,
02/07/2025,12:25:54.03,55.18,926.76,-347.66,-0.50,1.29,-2.50,-34.20,71.70,-12.90,32.44,10.138,
02/07/2025,12:25:54.13,52.73,916.50,-342.29,-0.10,1.16,-0.51,-34.35,71.85,-12.0,32.97,10.135,
02/07/2025,12:25:54.23,44.43,906.25,-338.87,0.52,-0.37,0.60,-33.90,71.55,-14.25,32.25,10.132,
02/07/2025,12:25:54.33,47.36,913.57,-347.66,2.04,-0.21,-1.13,-33.90,72.60,-13.50,32.39,10.129,
02/07/2025,12:25:54.43,51.27,908.20,-351.56,-0.16,1.31,1.70,-34.35,71.10,-14.25,32.73,10.127,
02/07/2025,12:25:54.53,60.06,918.95,-335.45,0.18,0.26,-0.19,-32.70,70.95,-13.35,32.63,10.124,
02/07/2025,12:25:54.63,36.13,922.85,-343.75,0.87,-0.27,-1.79,-32.85,71.55,-13.80,32.73,10.121,
02/07/2025,12:25:54.73,38.09,911.62,-338.38,0.49,0.62,-1.56,-33.0,71.70,-12.90,32.63,10.119,
02/07/2025,12:25:54.83,53.22,907.71,-344.73,1.73,1.50,0.03,-33.75,71.25,-13.65,32.58,10.117,
02/07/2025,12:25:54.93,51.27,904.79,-348.14,-1.54,1.66,-2.76,-33.0,71.25,-14.40,32.58,10.115,
02/07/2025,12:25:55.03,51.27,920.90,-342.77,-1.0,3.89,0.07,-33.75,70.95,-15.15,32.29,10.112,
02/07/2025,12:25:55.13,54.69,900.39,-353.03,0.53,-1.70,1.53,-32.70,70.95,-13.95,32.39,10.092,
02/07/2025,12:25:55.23,48.83,912.60,-342.29,1.06,0.99,-1.05,-33.90,70.35,-13.80,32.58,10.090,
02/07/2025,12:25:55.33,53.71,914.55,-360.35,2.83,1.54,2.12,-32.85,72.60,-13.05,32.58,10.088,
02/07/2025,12:25:55.44,44.43,911.62,-339.36,-0.20,0.73,-0.24,-33.30,71.85,-14.25,32.73,10.087,
02/07/2025,12:25:55.54,52.25,889.65,-336.91,1.36,1.63,-1.79,-32.25,72.90,-12.15,32.58,10.085,
02/07/2025,12:25:55.64,47.36,891.11,-345.21,1.85,-0.24,-1.69,-33.90,70.35,-11.70,32.58,10.084,
02/07/2025,12:25:55.74,37.11,909.18,-340.33,1.44,0.83,-0.44,-34.65,72.30,-13.50,32.53,10.083,
02/07/2025,12:25:55.84,46.39,914.06,-336.43,0.80,1.14,-0.48,-32.85,71.55,-13.05,32.39,10.081,
02/07/2025,12:25:55.94,54.69,922.85,-337.89,2.36,0.83,0.80,-34.20,72.90,-13.35,32.63,10.080,
02/07/2025,12:25:56.04,47.36,913.09,-347.66,0.79,0.27,0.26,-33.60,71.55,-13.80,32.58,10.079,
02/07/2025,12:25:56.14,51.76,913.57,-334.47,-0.94,-0.51,-0.37,-33.0,73.20,-12.60,32.39,10.078,
02/07/2025,12:25:56.24,48.34,913.57,-324.71,1.95,1.55,1.34,-33.30,71.85,-13.05,32.53,10.076,
02/07/2025,12:25:56.34,42.97,912.11,-338.87,1.53,1.08,0.60,-35.25,71.70,-13.35,32.44,10.075,
02/07/2025,12:25:56.44,42.97,922.36,-344.73,0.85,-0.98,-0.63,-34.35,70.80,-13.80,32.39,10.074,
02/07/2025,12:25:56.54,41.99,918.95,-340.33,0.82,1.18,1.18,-33.60,72.30,-14.55,32.44,10.058,
02/07/2025,12:25:56.64,55.66,910.16,-342.77,1.08,1.83,-1.44,-32.55,71.85,-13.50,32.29,10.057,
02/07/2025,12:25:56.74,36.13,926.27,-334.47,2.17,-0.47,1.60,-33.45,71.70,-12.15,32.25,10.057,
02/07/2025,12:25:56.85,44.43,916.02,-345.21,-0.94,0.53,-0.76,-33.30,70.80,-13.80,32.39,10.056,
02/07/2025,12:25:56.95,63.48,913.57,-334.47,0.98,-1.37,-1.48,-33.30,70.05,-13.05,32.58,10.055,
02/07/2025,12:25:57.05,46.39,928.71,-347.66,1.02,-1.16,0.66,-33.30,72.30,-12.75,32.29,10.054,
02/07/2025,12:25:57.15,46.39,911.62,-346.68,-0.26,0.88,-0.57,-33.90,72.60,-12.75,32.25,10.054,
02/07/2025,12:25:57.25,44.43,909.67,-336.43,-0.30,-0.02,-0.89,-32.85,71.85,-12.0,32.44,10.053,
02/07/2025,12:25:57.35,49.80,902.83,-354.49,-0.72,1.25,-0.51,-33.0,71.70,-13.95,32.29,10.052,
02/07/2025,12:25:57.45,42.97,915.04,-341.31,3.18,-1.81,-1.35,-33.0,71.25,-14.40,32.25,10.052,
02/07/2025,12:25:57.55,38.57,910.16,-340.82,0.40,0.63,0.03,-31.95,72.90,-13.95,32.58,10.051,
02/07/2025,12:25:57.65,57.13,909.67,-338.87,0.85,1.18,0.53,-33.45,70.95,-13.95,32.29,10.050,
02/07/2025,12:25:57.75,47.85,912.60,-340.33,0.0,-0.23,-1.23,-32.70,72.0,-13.65,32.39,10.050,
02/07/2025,12:25:57.85,51.27,912.60,-338.38,0.66,-1.38,-0.22,-32.85,71.85,-13.50,32.39,10.037,
02/07/2025,12:25:57.95,50.78,905.76,-347.66,0.79,-1.26,-2.67,-33.45,71.70,-13.35,32.39,10.036,
02/07/2025,12:25:58.05,57.62,922.85,-337.89,0.09,-0.56,-0.32,-33.75,71.25,-13.65,32.29,10.036,
