rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
01/01/2000,00:02:36.20,-335.94,0.0,962.40,0.80,-0.36,-1.31,38.10,3.15,12.15,29.95,0.0,
01/01/2000,00:02:36.30,-340.82,-20.02,966.31,-1.56,2.72,-2.99,38.25,3.75,12.0,29.75,20.0,
01/01/2000,00:02:36.40,-332.03,-8.30,958.01,-1.73,-2.13,-2.07,38.85,4.35,12.60,29.66,15.0,
01/01/2000,00:02:36.50,-344.24,-17.09,965.33,2.10,2.04,-1.13,38.55,3.15,11.10,29.80,13.333,
01/01/2000,00:02:36.60,-337.89,-0.98,972.66,0.62,-1.41,3.08,38.70,3.0,12.0,29.80,12.500,
01/01/2000,00:02:36.70,-335.94,-10.25,966.31,1.17,0.53,-0.56,37.35,3.90,12.90,29.66,12.0,
01/01/2000,00:02:36.80,-333.98,-0.98,968.26,2.19,-1.95,1.54,37.35,3.60,11.85,29.80,11.667,
01/01/2000,00:02:36.90,-329.59,-0.98,971.68,0.98,-0.35,1.53,37.80,2.85,11.85,29.75,11.268,
01/01/2000,00:02:37.00,-333.01,-9.28,967.29,0.44,-0.67,-0.09,38.25,4.20,11.25,29.80,11.111,
01/01/2000,00:02:37.10,-333.98,10.74,957.52,0.92,-1.56,-2.38,38.85,3.60,11.85,29.56,10.989,
01/01/2000,00:02:37.21,-336.43,-4.39,956.54,-2.22,0.77,-1.90,37.80,5.10,13.20,29.99,10.891,
01/01/2000,00:02:37.31,-343.26,-14.16,964.84,-0.66,1.19,-0.52,37.35,4.80,11.40,29.75,10.811,
01/01/2000,00:02:37.41,-345.70,-12.21,955.08,0.44,-0.72,-0.06,37.95,4.20,12.0,29.61,10.744,
07/02/2025,12:20:24.36,-330.08,-15.14,961.43,0.47,-1.10,-0.17,38.10,5.85,12.60,29.90,100.0,
07/02/2025,12:20:24.47,-337.40,0.98,962.40,-0.90,1.87,1.15,38.25,3.45,12.30,29.95,18.182,
07/02/2025,12:20:24.57,-336.91,-12.21,968.26,0.30,0.50,-0.90,38.25,3.0,13.05,30.28,14.286,
07/02/2025,12:20:24.67,-338.87,-10.25,957.03,0.64,0.24,-1.33,38.10,3.60,12.90,30.33,12.903,
07/02/2025,12:20:24.77,-333.01,-7.32,974.61,-1.69,1.50,-2.32,37.95,3.75,12.75,30.14,12.195,
07/02/2025,12:20:24.87,-351.07,-7.32,956.05,0.83,-1.60,2.48,36.60,3.90,11.40,29.90,11.765,
07/02/2025,12:20:24.97,-338.38,-24.90,958.01,-0.36,-1.28,-2.14,38.10,2.85,13.65,29.99,11.475,
07/02/2025,12:20:25.07,-329.59,-14.16,960.94,-0.96,-0.89,-0.14,38.85,3.90,11.10,29.95,11.268,
07/02/2025,12:20:25.17,-327.64,-11.23,972.17,-0.34,1.35,0.40,37.35,4.35,11.10,29.99,11.111,
07/02/2025,12:20:25.27,-336.43,-7.32,965.82,0.35,-0.51,2.50,37.95,1.05,11.25,30.19,10.989,
07/02/2025,12:20:25.37,-343.26,-10.74,968.26,-1.04,-0.99,0.34,38.85,3.15,12.90,30.14,10.891,
07/02/2025,12:20:25.47,-337.89,-14.65,957.03,-0.08,-0.68,3.34,38.70,4.95,11.25,30.19,10.811,
07/02/2025,12:20:25.57,-343.75,-9.77,973.63,-1.39,-2.01,-1.92,39.0,2.55,11.70,30.33,10.656,
07/02/2025,12:20:25.67,-339.84,-12.70,977.54,2.18,-0.86,-0.92,37.20,3.45,11.70,29.90,10.606,
07/02/2025,12:20:25.77,-332.03,-8.30,977.54,-0.04,-0.91,-2.11,38.25,3.45,12.0,29.99,10.563,
07/02/2025,12:20:25.88,-341.80,-11.72,976.07,1.74,1.10,0.23,37.50,3.45,13.05,30.19,10.526,
07/02/2025,12:20:25.98,-345.21,-5.86,960.45,1.72,0.60,-1.36,38.25,3.0,12.0,29.99,10.494,
07/02/2025,12:20:26.08,-344.73,-10.25,960.45,2.31,0.29,-1.98,37.50,2.55,10.50,30.43,10.465,
07/02/2025,12:20:26.18,-341.80,-9.77,969.24,0.27,0.35,-0.32,38.10,6.30,12.90,30.19,10.440,
07/02/2025,12:20:26.28,-332.52,-7.32,962.40,-0.61,2.09,1.90,37.95,3.75,11.70,30.43,10.417,
07/02/2025,12:20:26.38,-329.59,-19.04,968.75,1.82,-1.34,2.05,38.10,4.35,12.15,30.43,10.396,
07/02/2025,12:20:26.48,-332.03,-17.09,977.54,0.36,0.31,-1.50,38.25,3.75,12.30,29.80,10.377,
07/02/2025,12:20:26.58,-346.19,-4.39,961.43,0.31,-1.63,1.01,37.50,5.25,11.25,30.52,10.360,
07/02/2025,12:20:26.68,-334.47,-14.65,974.61,0.29,0.02,-1.19,37.35,3.90,11.85,30.33,10.345,
07/02/2025,12:20:26.78,-340.82,-16.11,964.36,-2.0,0.60,-0.30,38.25,2.55,10.95,30.33,10.331,
07/02/2025,12:20:26.88,-333.98,1.46,953.61,1.41,-2.56,1.77,38.25,3.45,11.25,30.14,10.317,
07/02/2025,12:20:26.98,-336.43,-8.79,965.82,0.08,0.49,-2.43,37.80,3.60,12.15,29.80,10.305,
07/02/2025,12:20:27.08,-354.00,-18.07,961.43,0.95,0.04,-0.66,38.70,4.50,11.70,30.19,10.256,
07/02/2025,12:20:27.18,-330.57,-9.28,968.26,-1.16,-0.39,-1.41,39.0,3.75,11.25,30.28,10.247,
07/02/2025,12:20:27.28,-334.96,-5.86,970.70,0.87,-1.30,-1.56,37.95,4.20,11.70,29.90,10.239,
07/02/2025,12:20:27.39,-341.80,0.0,962.40,-1.0,-1.59,1.24,37.80,4.35,11.10,30.33,10.231,
07/02/2025,12:20:27.49,-334.47,-15.14,967.77,1.22,0.85,1.81,37.80,3.15,11.40,30.09,10.224,
07/02/2025,12:20:27.59,-340.82,2.93,975.10,-0.90,2.22,1.02,38.10,3.60,12.90,30.28,10.217,
07/02/2025,12:20:27.69,-335.94,-11.23,964.84,0.51,-0.35,0.22,37.95,4.20,12.0,30.19,10.210,
