rtcDate,rtcTime,aX,aY,aZ,gX,gY,gZ,mX,mY,mZ,imu_degC,output_Hz,
02/07/2025,12:15:14.79,198.73,938.48,-282.71,6.73,1.79,-10.0,-37.95,68.10,-16.50,34.50,100.0,
02/07/2025,12:15:14.89,199.22,909.18,-283.20,3.39,3.50,-1.24,-38.40,67.35,-19.05,34.64,18.182,
02/07/2025,12:15:15.00,206.05,930.18,-319.82,3.67,0.08,-7.47,-36.30,67.20,-20.10,34.40,14.286,
02/07/2025,12:15:15.10,193.85,934.57,-321.78,2.02,1.68,1.91,-36.30,67.20,-20.10,34.55,12.903,
02/07/2025,12:15:15.20,200.68,914.06,-320.31,1.46,4.22,-0.36,-38.55,65.70,-18.90,34.50,12.195,
02/07/2025,12:15:15.30,194.34,931.64,-312.99,-3.28,2.40,-3.44,-38.40,67.35,-20.25,34.64,11.765,
02/07/2025,12:15:15.40,197.27,901.86,-323.24,-3.92,2.38,-1.82,-37.65,66.60,-19.80,34.64,11.475,
02/07/2025,12:15:15.50,201.66,923.83,-318.85,-2.43,2.20,-1.91,-38.40,66.60,-18.75,34.50,11.268,
02/07/2025,12:15:15.60,200.20,939.94,-299.80,-1.10,0.92,-1.47,-38.70,67.05,-18.75,34.83,11.111,
02/07/2025,12:15:15.70,215.82,919.43,-308.11,0.33,0.02,-0.21,-37.20,67.05,-17.70,34.93,10.989,
02/07/2025,12:15:15.80,208.01,920.90,-304.69,3.87,-0.39,-0.25,-37.65,67.35,-19.50,34.74,10.891,
02/07/2025,12:15:15.90,196.78,943.85,-312.99,-1.18,3.45,-0.09,-36.90,66.60,-19.05,34.74,10.811,
02/07/2025,12:15:16.00,194.34,929.69,-311.52,0.46,1.89,-0.22,-37.95,68.55,-19.50,34.93,10.656,
02/07/2025,12:15:16.10,194.34,939.45,-318.36,-0.80,2.73,3.13,-38.55,67.20,-18.15,34.83,10.606,
02/07/2025,12:15:16.21,198.24,947.75,-302.73,-0.60,5.08,-0.96,-37.05,66.45,-18.60,34.93,10.563,
02/07/2025,12:15:16.31,214.36,934.08,-305.66,-2.59,4.81,-0.60,-38.55,66.0,-18.15,34.93,10.526,
02/07/2025,12:15:16.41,199.22,926.76,-317.38,-1.60,0.28,-4.46,-38.25,66.0,-19.35,34.88,10.494,
02/07/2025,12:15:16.51,203.13,924.80,-309.08,-2.14,3.59,-2.39,-37.20,67.80,-19.50,34.83,10.465,
02/07/2025,12:15:16.61,208.01,948.24,-298.34,-0.82,-0.09,0.94,-37.65,66.0,-18.15,34.83,10.440,
02/07/2025,12:15:16.71,207.52,930.18,-315.92,-1.17,-0.72,0.26,-38.25,66.75,-19.65,34.93,10.417,
02/07/2025,12:15:16.81,194.82,930.18,-300.29,-0.53,0.37,-0.34,-39.30,67.65,-18.15,35.03,10.396,
02/07/2025,12:15:16.91,198.24,940.92,-307.13,-0.86,1.08,-3.05,-36.75,66.75,-17.85,35.17,10.377,
02/07/2025,12:15:17.01,212.40,933.11,-299.32,-2.60,-0.46,-4.18,-36.90,67.05,-19.05,34.93,10.360,
02/07/2025,12:15:17.11,179.69,924.80,-303.22,-2.51,3.20,-4.18,-37.65,66.60,-19.05,34.74,10.345,
02/07/2025,12:15:17.21,196.29,911.13,-304.69,-7.67,0.21,-5.84,-37.50,65.70,-18.60,34.74,10.331,
02/07/2025,12:15:17.31,213.38,932.13,-297.85,-24.63,4.31,-13.48,-37.20,68.55,-18.45,34.93,10.277,
02/07/2025,12:15:17.41,139.65,975.59,-209.96,-36.52,3.24,-9.32,-37.20,68.10,-17.70,34.74,10.266,
02/07/2025,12:15:17.52,122.56,952.15,-111.33,-115.11,-21.17,-3.02,-36.75,70.20,-14.25,34.93,10.256,
02/07/2025,12:15:17.62,158.69,951.66,197.75,-144.15,-52.12,-26.15,-33.0,78.75,-5.40,34.74,10.247,
02/07/2025,12:15:17.72,140.14,927.73,293.46,-36.92,-5.92,-21.48,-31.95,79.65,1.35,34.69,10.239,
02/07/2025,12:15:17.82,107.91,907.23,322.75,-4.85,10.45,-18.18,-31.95,82.05,3.45,34.83,10.231,
02/07/2025,12:15:17.92,79.10,993.65,303.22,-14.21,-6.23,1.18,-31.80,81.45,3.15,34.64,10.224,
02/07/2025,12:15:18.02,89.84,925.29,370.12,-9.52,11.89,9.98,-30.30,81.75,3.60,34.74,10.217,
02/07/2025,12:15:18.12,64.45,900.88,373.05,27.04,18.70,-11.22,-32.55,80.70,3.90,34.74,10.210,
02/07/2025,12:15:18.22,31.25,926.27,331.05,1.09,10.06,0.62,-31.05,82.50,2.85,34.64,10.204,
02/07/2025,12:15:18.32,69.82,926.27,288.57,10.05,15.64,1.85,-31.50,82.20,4.35,34.50,10.198,
02/07/2025,12:15:18.42,94.73,924.80,269.04,-0.89,13.15,2.37,-29.40,80.85,3.45,34.64,10.193,
02/07/2025,12:15:18.52,99.61,924.80,337.89,-3.92,10.73,-0.21,-31.65,82.80,4.80,34.69,10.160,
02/07/2025,12:15:18.62,59.08,905.76,320.80,-7.78,-3.69,-2.45,-30.45,81.15,6.0,34.64,10.156,
02/07/2025,12:15:18.72,0.98,901.37,366.21,-28.67,15.90,-4.26,-31.20,83.10,6.30,34.83,10.152,
02/07/2025,12:15:18.83,14.65,893.07,445.80,-14.47,25.14,8.54,-31.80,81.75,8.70,34.64,10.149,
